serial number,game,link,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating,primary_genre,store_genres,publisher,developer,detected_technologies,store_asset_mod_time,review_percentage,players_right_now,24_hour_peak,all_time_peak,all_time_peak_date
29468,9 Till Void,/app/1264010/,5/19/20,6,9,0,9,75,Strategy (2),"Indie (23), Strategy (2)",Ben Allen,Ben Allen,Engine.GameMaker,4/22/20,,0,0,6,5/19/20
29469,Defenders: Survival and Tower Defense,/app/1265460/,6/30/20,5,9,0,9,75,Indie (23),"Action (1), Adventure (25), Casual (4), Indie (23), Strategy (2)",Yuboy Studios,Yuboy Studios,Engine.Unity; SDK.Photon,4/18/20,,0,0,5,3/1/21
29470,Pandemic Crisis,/app/1281350/,5/15/20,6,9,0,9,75,Strategy (2),"Casual (4), Indie (23), Simulation (28), Strategy (2)",Thor Gaming,Thor Gaming,Engine.Unity,4/29/20,,0,0,6,5/17/20
29471,Stozle - Solve the Mystery,/app/1291090/,5/16/20,3,9,0,9,75,Indie (23),"Casual (4), Indie (23)",Balazs Hrabacsik,Balazs Hrabacsik,SDK.OpenAL; SDK.SDL,5/16/20,,0,0,3,5/16/20
29472,Fantasy Lands,/app/1297200/,6/23/20,3,9,0,9,75,Strategy (2),"Free to Play (37), Strategy (2), Early Access (70)",José Antonio Durá Olmos,José Antonio Durá Olmos,Engine.Unity,5/12/20,,0,0,3,6/23/20
29473,Whispers from Within: Moving On,/app/1298890/,7/23/20,1,9,0,9,75,Adventure (25),"Adventure (25), Casual (4), Indie (23)",Think Ten Media Group,Think Ten Media Group,Engine.Unity; SDK.OculusXRPlugin; SDK.OpenVR,8/15/20,,0,0,1,7/23/20
29474,Extortion,/app/1299430/,10/30/20,4,9,0,9,75,Simulation (28),"Indie (23), Simulation (28)",Dysnomia,Dysnomia,SDK.Greenworks; SDK.NWJS; SDK.NodeJS,10/29/22,,0,1,4,10/31/20
29475,Not Their WIll,/app/1299820/,5/25/20,4,9,0,9,75,Action (1),Action (1),Geosphere Games,Geosphere Games,Engine.Unity,5/8/20,,0,0,4,5/25/20
29476,Block Motion,/app/1333030/,12/1/20,4,9,0,9,75,Simulation (28),"Indie (23), Simulation (28), Strategy (2)",Daniel Willett,Daniel Willett,Engine.Unity; SDK.UnityBurst,11/21/20,,0,0,4,12/2/20
29477,Takelshin,/app/1334610/,6/19/20,2,9,0,9,75,Action (1),"Action (1), Adventure (25), Indie (23)",MINBEKKER,MINBEKKER,nan,3/11/22,,0,0,2,11/23/20
29478,Jonas Willy Online,/app/1350280/,7/9/20,3,9,0,9,75,Action (1),"Action (1), Indie (23), Massively Multiplayer (29)",Vutune,Vutune,Engine.Unity; SDK.Photon,6/20/20,,0,0,3,7/15/20
29479,Day Island,/app/1361150/,7/14/20,3,9,0,9,75,Action (1),"Action (1), Casual (4), Indie (23)",MACKINN7,MACKINN7,Engine.Unity,6/29/20,,1,1,3,7/15/20
29480,Slimesphere,/app/1373170/,8/6/20,3,9,0,9,75,Strategy (2),"Indie (23), Strategy (2)",Matheus Reis,Matheus Reis,Engine.Godot; SDK.SteamworksNET,7/21/20,,0,0,3,8/15/20
29481,Sea Legends,/app/1373770/,10/2/20,3,9,0,9,75,Strategy (2),"Action (1), Adventure (25), RPG (3), Strategy (2)",Ziggurat,Mir Dialogue,Emulator.DOSBOX; SDK.SDL,9/15/20,,0,0,3,1/9/21
29482,Captain Frogger,/app/1381640/,8/17/20,3,9,0,9,75,Action (1),Action (1),flapper3 inc.,flapper3 inc.,Engine.Unity,7/31/20,,0,0,3,8/26/20
29483,Dark Tales: Edgar Allan Poe's The Devil in the Belfry Collector's Edition,/app/1384670/,8/7/20,6,9,0,9,75,Adventure (25),"Adventure (25), Casual (4)",Big Fish Games,Amax Interactive,SDK.BASS,8/3/20,,0,2,6,8/12/20
29484,Spark The Battle Dog,/app/1385590/,11/24/20,2,9,0,9,75,Action (1),"Action (1), Adventure (25), Indie (23)",First Coffee,First Coffee,SDK.NWJS; SDK.NodeJS,11/8/22,,0,0,2,11/26/20
29485,Rock'n Cow,/app/1387980/,8/31/20,2,9,0,9,75,Strategy (2),"Action (1), Strategy (2)",MJMac,Igor Silva Batista,Engine.Unity; SDK.UnityURP,8/19/20,,0,0,2,9/1/20
29486,Union,/app/1393480/,10/1/20,5,9,0,9,75,Casual (4),"Casual (4), Indie (23)",Xavi Heras,Xavi Heras,Engine.Unity,8/29/20,,0,0,5,10/2/20
29487,NUI,/app/1399380/,9/17/20,4,9,0,9,75,Indie (23),"Action (1), Indie (23)",DavidPixel,DavidPixel,Engine.Unity,9/6/20,,0,0,4,9/18/20
29488,The Count of Monte Carlo,/app/1428980/,10/26/20,3,9,0,9,75,RPG (3),RPG (3),Phil Blank,Phil Blank,Engine.Unity,8/12/21,,0,0,3,10/27/20
29489,Breathing Fear,/app/1440840/,11/12/20,2,9,0,9,75,Adventure (25),"Adventure (25), Indie (23)",LunarPixel,LunarPixel,Engine.GameMaker,10/26/20,,0,0,2,11/12/20
29490,FISTS OF FIRE 美鈴伝説,/app/1453280/,12/3/20,2,9,0,9,75,Action (1),"Action (1), Indie (23)",青春18金魚,青春18金魚,nan,11/10/22,,0,0,2,6/13/21
29491,Cat's Cradle,/app/1472040/,12/13/20,3,9,0,9,75,Action (1),Action (1),IzukawaN,IzukawaN,Engine.Unity; SDK.SteamworksNET; SDK.cURL,2/4/21,,0,1,3,1/26/21
29492,Sep's Diner,/app/1478880/,12/15/20,7,9,0,9,75,Simulation (28),Simulation (28),Scale-1 Portal,Scale-1 Portal,Engine.Unity; SDK.OculusXRPlugin; SDK.OpenVR,6/11/21,,0,0,7,3/1/22
29493,Puzzle Party,/app/434470/,6/15/20,11,20,2,22,74.99,Indie (23),"Casual (4), Indie (23)",Krispy Animation,Kris Patrick,Engine.GameMaker,6/15/20,90,0,0,11,7/13/20
